S1,S2,open,loss,reward,action_choose,form_del_min
BTCUSDT,ETHUSDT,2.0,12.5,8.06073215052811,4,188
BTCUSDT,ETHUSDT,2.0,12.5,7.209320932733249,4,190
BTCUSDT,ETHUSDT,2.0,12.5,19.270198396621367,4,487
BTCUSDT,ETHUSDT,2.0,12.5,5.197186404475133,4,814
BTCUSDT,ETHUSDT,2.0,12.5,8.694364545603435,4,830
BTCUSDT,ETHUSDT,2.0,12.5,62.754143874834085,4,1034
BTCUSDT,ETHUSDT,2.0,12.5,62.199627382353015,4,1038
BTCUSDT,ETHUSDT,2.0,12.5,66.70916744562362,4,1040
BTCUSDT,ETHUSDT,2.0,12.5,64.85340851505146,4,1041
BTCUSDT,ETHUSDT,2.0,12.5,62.21845848084922,4,1042
BTCUSDT,ETHUSDT,2.0,12.5,63.19105528389173,4,1043
BTCUSDT,ETHUSDT,2.0,12.5,62.51042363910824,4,1044
BTCUSDT,ETHUSDT,2.0,12.5,58.688135812163296,4,1045
BTCUSDT,ETHUSDT,2.0,12.5,7.467227318816299,4,1046
BTCUSDT,ETHUSDT,2.0,12.5,8.019528925627583,4,1047
BTCUSDT,ETHUSDT,2.0,12.5,62.11718812343963,4,1048
BTCUSDT,ETHUSDT,2.0,12.5,60.73344100219572,4,1049
BTCUSDT,ETHUSDT,2.0,12.5,61.87264178951466,4,1050
BTCUSDT,ETHUSDT,2.0,12.5,8.185926565737986,4,1051
BTCUSDT,ETHUSDT,2.0,12.5,61.562661358239325,4,1052
BTCUSDT,ETHUSDT,2.0,12.5,8.193695425298415,4,1053
BTCUSDT,ETHUSDT,2.0,12.5,60.2464813029145,4,1071
BTCUSDT,ETHUSDT,2.0,12.5,55.73833982436702,4,1072
BTCUSDT,ETHUSDT,2.0,12.5,56.27625004815695,4,1073
BTCUSDT,ETHUSDT,2.0,12.5,58.26865881582023,4,1075
BTCUSDT,ETHUSDT,2.0,12.5,56.42406657442052,4,1076
BTCUSDT,ETHUSDT,2.0,12.5,16.83913945392044,4,1688
BTCUSDT,ETHUSDT,2.0,12.5,16.83827314419318,4,1689
BTCUSDT,ETHUSDT,2.0,12.5,16.83670820678526,4,1690
BTCUSDT,ETHUSDT,2.0,12.5,16.836032504496643,4,1691
BTCUSDT,ETHUSDT,2.0,12.5,16.836945793814152,4,1692
BTCUSDT,ETHUSDT,2.0,12.5,15.60403202037105,4,1693
BTCUSDT,ETHUSDT,2.0,12.5,13.963608699558222,4,1702
BTCUSDT,ETHUSDT,2.0,12.5,18.81267965523091,4,1703
BTCUSDT,ETHUSDT,2.0,12.5,27.237004910451788,4,1709
BTCUSDT,ETHUSDT,2.0,12.5,26.149621263219046,4,1710
BTCUSDT,ETHUSDT,2.0,12.5,29.85815115901096,4,1711
BTCUSDT,ETHUSDT,2.0,12.5,33.90833491724524,4,1712
BTCUSDT,ETHUSDT,2.0,12.5,32.78783186748137,4,1713
BTCUSDT,ETHUSDT,2.0,12.5,20.93210332938844,4,1714
BTCUSDT,ETHUSDT,2.0,12.5,22.058727817399728,4,1715
BTCUSDT,ETHUSDT,2.0,12.5,21.990735923151135,4,1716
BTCUSDT,ETHUSDT,2.0,12.5,21.489023960865495,4,1717
BTCUSDT,ETHUSDT,2.0,12.5,22.144336119879853,4,1718
BTCUSDT,ETHUSDT,2.0,12.5,17.122321404046033,4,1720
BTCUSDT,ETHUSDT,2.0,12.5,17.610088893984766,4,1724
BTCUSDT,ETHUSDT,2.0,12.5,17.610492138020277,4,1728
BTCUSDT,ETHUSDT,2.0,12.5,17.613469284844996,4,1734
BTCUSDT,ETHUSDT,2.0,12.5,17.612945345826574,4,1735
BTCUSDT,ETHUSDT,2.0,12.5,17.613084461178914,4,1736
BTCUSDT,ETHUSDT,2.0,12.5,17.61369457195076,4,1737
BTCUSDT,ETHUSDT,2.0,12.5,17.613621781116308,4,1738
BTCUSDT,ETHUSDT,2.0,12.5,12.099093037759076,4,1739
BTCUSDT,ETHUSDT,2.0,12.5,12.099096167678113,4,1740
BTCUSDT,ETHUSDT,2.0,12.5,12.099316448282707,4,1741
BTCUSDT,ETHUSDT,2.0,12.5,12.099121850365691,4,1742
BTCUSDT,ETHUSDT,2.0,12.5,17.61412751704802,4,1743
BTCUSDT,ETHUSDT,2.0,12.5,17.614002957473076,4,1744
BTCUSDT,ETHUSDT,2.0,12.5,15.380391013566054,4,1752
BTCUSDT,ETHUSDT,2.0,12.5,13.48083153115158,4,1753
BTCUSDT,ETHUSDT,2.0,12.5,13.59460135285076,4,1754
BTCUSDT,ETHUSDT,2.0,12.5,12.474615981002557,4,1788
BTCUSDT,ETHUSDT,2.0,12.5,6.449949819106223,4,1809
BTCUSDT,ETHUSDT,2.0,12.5,6.449904378240603,4,1810
BTCUSDT,ETHUSDT,2.0,12.5,6.4498635264748145,4,1811
BTCUSDT,ETHUSDT,2.0,12.5,11.483103928457297,4,1815
BTCUSDT,ETHUSDT,2.0,12.5,12.517126750411876,4,1816
BTCUSDT,ETHUSDT,2.0,12.5,11.407151937477465,4,2071
BTCUSDT,ETHUSDT,2.0,12.5,8.132908726898563,4,2072
BTCUSDT,ETHUSDT,2.0,12.5,8.118881467619985,4,2073
BTCUSDT,ETHUSDT,2.0,12.5,8.06102059648481,4,2074
BTCUSDT,ETHUSDT,2.0,12.5,7.095641483173381,4,2075
BTCUSDT,ETHUSDT,2.0,12.5,7.0712771636211755,4,2076
BTCUSDT,ETHUSDT,2.0,12.5,16.998985951571512,4,2077
BTCUSDT,ETHUSDT,2.0,12.5,16.92694199309176,4,2078
BTCUSDT,ETHUSDT,2.0,12.5,16.701663648505246,4,2079
BTCUSDT,ETHUSDT,2.0,12.5,16.728528238705053,4,2080
BTCUSDT,ETHUSDT,2.0,12.5,16.763811229038765,4,2081
BTCUSDT,ETHUSDT,2.0,12.5,7.841380729374123,4,2082
BTCUSDT,ETHUSDT,2.0,12.5,7.804906304631686,4,2083
BTCUSDT,ETHUSDT,2.0,12.5,8.20456461583683,4,2084
BTCUSDT,ETHUSDT,2.0,12.5,11.101708543428344,4,2085
BTCUSDT,ETHUSDT,2.0,12.5,8.620614064889992,4,2086
BTCUSDT,ETHUSDT,2.0,12.5,11.54067069498501,4,2087
BTCUSDT,ETHUSDT,2.0,12.5,11.776754837381986,4,2089
BTCUSDT,ETHUSDT,2.0,12.5,15.615687714996398,4,2090
BTCUSDT,ETHUSDT,2.0,12.5,13.161835920322574,4,2091
BTCUSDT,ETHUSDT,2.0,12.5,15.478010665974239,4,2092
BTCUSDT,ETHUSDT,2.0,12.5,15.455914907353872,4,2093
BTCUSDT,ETHUSDT,2.0,12.5,13.195883726066086,4,2095
BTCUSDT,ETHUSDT,2.0,12.5,15.539164518943494,4,2096
BTCUSDT,ETHUSDT,2.0,12.5,15.68072933365579,4,2097
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2099
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2100
BTCUSDT,ETHUSDT,2.0,12.5,15.81237141085802,4,2101
BTCUSDT,ETHUSDT,2.0,12.5,15.821066376916406,4,2102
BTCUSDT,ETHUSDT,2.0,12.5,15.97001369114821,4,2103
BTCUSDT,ETHUSDT,2.0,12.5,13.30423957782375,4,2104
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2568
BTCUSDT,ETHUSDT,2.0,12.5,11.413757765726928,4,2592
BTCUSDT,ETHUSDT,2.0,12.5,7.8574263106975195,4,2602
BTCUSDT,ETHUSDT,2.0,12.5,8.119536919946313,4,2604
BTCUSDT,ETHUSDT,2.0,12.5,8.764466682098487,4,2605
BTCUSDT,ETHUSDT,2.0,12.5,8.2927185182441,4,2606
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2655
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2656
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2657
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2658
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2659
BTCUSDT,ETHUSDT,1.5,10.0,7.6876197092605025,3,2760
BTCUSDT,ETHUSDT,2.0,12.5,19.540755338166946,4,2761
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2876
BTCUSDT,ETHUSDT,inf,inf,0.0,5,2877
BTCUSDT,ETHUSDT,2.0,12.5,14.548688610781142,4,3002
BTCUSDT,ETHUSDT,1.5,10.0,17.060353054666052,3,3003
BTCUSDT,ETHUSDT,1.5,10.0,17.062438246663078,3,3004
BTCUSDT,ETHUSDT,1.25,10.0,14.072862182962126,2,3005
BTCUSDT,ETHUSDT,1.5,10.0,14.80252901144786,3,3006
BTCUSDT,ETHUSDT,1.5,10.0,14.292019028807431,3,3007
BTCUSDT,ETHUSDT,1.5,10.0,14.292115916874309,3,3008
BTCUSDT,ETHUSDT,1.5,10.0,14.292066811982977,3,3009
BTCUSDT,ETHUSDT,2.0,12.5,5.865470178051851,4,3263
BTCUSDT,ETHUSDT,2.0,12.5,7.784001935003744,4,3331
BTCUSDT,ETHUSDT,2.0,12.5,14.131853920116328,4,3332
BTCUSDT,ETHUSDT,2.0,12.5,18.23277876272502,4,3359
BTCUSDT,ETHUSDT,inf,inf,0.0,5,3569
BTCUSDT,ETHUSDT,2.0,12.5,5.210114662504793,4,3570
BTCUSDT,ETHUSDT,2.0,12.5,4.655914697316575,4,3571
BTCUSDT,ETHUSDT,2.0,12.5,6.48251598879915,4,3575
BTCUSDT,ETHUSDT,2.0,12.5,6.296845874541873,4,3576
BTCUSDT,ETHUSDT,inf,inf,0.0,5,3577
BTCUSDT,ETHUSDT,2.0,12.5,12.575172215436282,4,3617
